ph,EC,label
5.907930899,0.21,cotton
6.135025006,0.28,cotton
6.044556594,0.25,cotton
7.59781958,0.25,cotton
6.691268104,0.27,cotton
6.175492306,0.28,cotton
7.272316209,0.24,cotton
5.801047545,0.2,cotton
6.757457943,0.22,cotton
6.983395573,0.24,cotton
7.976889498,0.25,cotton
6.558902588,0.25,cotton
7.979090365,0.28,cotton
7.903528673,0.2,cotton
6.73210948,0.23,cotton
6.691690476,0.2,cotton
7.839849298,0.21,cotton
6.61448588,0.28,cotton
7.456971816,0.25,cotton
7.2942193,0.25,cotton
7.762647875,0.27,cotton
6.363406102,0.28,cotton
7.63737841,0.24,cotton
6.200671976,0.2,cotton
6.364729934,0.22,cotton
6.913678684,0.24,cotton
7.766259769,0.25,cotton
7.55606399,0.25,cotton
7.288377241,0.28,cotton
8.61,0.5,grapes
8.6,0.54,grapes
8.23,0.5,grapes
7.54,1.1,grapes
8.1,0.2,grapes
7.13,0.5,grapes
7.3,0.55,grapes
7.54,1.1,grapes
7.13,0.5,grapes
7.3,0.55,grapes
7.28,0.54,grapes
7.89,0.65,grapes
7.89,0.65,grapes
7.15,0.72,grapes
7.12,0.5,grapes
7.82,0.54,grapes
8.61,0.5,grapes
8.6,0.54,grapes
8.23,0.5,grapes
7.54,1.1,grapes
8.1,0.2,grapes
7.13,0.5,grapes
7.3,0.55,grapes
7.54,1.1,grapes
7.13,0.5,grapes
7.3,0.55,grapes
7.28,0.54,grapes
7.89,0.65,grapes
7.89,0.65,grapes
7.15,0.72,grapes
7.12,0.5,grapes
7.82,0.54,grapes
6.358186848,0.5,grapes
6.119495295,0.54,grapes
6.207600783,0.394,grapes
6.48754639,0.6,grapes
5.81717753,0.36,grapes
6.325480034,0.5,grapes
5.562790949,1.1,grapes
6.487369687,0.2,grapes
6.116982944,0.5,grapes
5.695792761,0.55,grapes
5.734317007,1.1,grapes
6.329499832,0.5,grapes
6.167013532,0.55,grapes
5.653776058,0.54,grapes
5.840256272,0.65,grapes
5.539980812,0.65,grapes
5.833302165,0.72,grapes
6.399433771,0.5,grapes
6.138958698,0.54,grapes
5.972850838,0.394,grapes
6.456079585,0.6,grapes
6.336426667,0.36,grapes
6.425419926,0.5,grapes
6.294395676,1.1,grapes
6.477768039,0.2,grapes
5.931538447,0.5,grapes
5.980598579,0.55,grapes
6.389783283,1.1,grapes
5.693287415,0.5,grapes
6.00299607,0.55,grapes
6.372959542,0.54,grapes
5.510924849,0.65,grapes
5.69945282,0.65,grapes
5.778594403,0.72,grapes
6.315586313,0.5,grapes
5.971813006,0.54,grapes
5.891195653,0.394,grapes
6.129812716,0.6,grapes
6.313085601,0.36,grapes
6.053662544,0.5,grapes
5.804799142,1.1,grapes
6.400719746,0.2,grapes
5.953966361,0.5,grapes
5.609255992,0.55,grapes
5.777271492,1.1,grapes
5.682395429,0.5,grapes
5.863996687,0.55,grapes
6.444373116,0.54,grapes
5.550832178,0.65,grapes
6.107741788,0.65,grapes
5.620745638,0.72,grapes
6.349875906,0.5,grapes
6.484323189,0.54,grapes
5.838748311,0.394,grapes
6.29099842,0.6,grapes
5.638328481,0.36,grapes
6.415555956,0.5,grapes
6.323722572,1.1,grapes
5.757009965,0.2,grapes
6.158689406,0.5,grapes
5.733539807,0.55,grapes
5.908724337,1.1,grapes
6.361141107,0.5,grapes
5.96537863,0.55,grapes
6.476757723,0.54,grapes
6.224542938,0.65,grapes
6.209928251,0.65,grapes
5.841138354,0.72,grapes
8.61,0.5,grapes
8.6,0.54,grapes
8.23,0.5,grapes
7.54,1.1,grapes
8.1,0.2,grapes
7.13,0.5,grapes
7.3,0.55,grapes
7.54,1.1,grapes
7.13,0.5,grapes
7.3,0.55,grapes
7.28,0.54,grapes
7.89,0.65,grapes
7.89,0.65,grapes
7.15,0.72,grapes
7.12,0.5,grapes
7.82,0.54,grapes
8.77,0.33,jowar
8.66,0.82,jowar
8.85,0.212,jowar
8.61,0.469,jowar
8.35,0.649,jowar
8.86,0.266,jowar
8.66,0.251,jowar
8.9,0.397,jowar
9.1,0.283,jowar
6,0.33,jowar
6.6,0.82,jowar
6.7,0.212,jowar
6.9,0.469,jowar
6.4,0.649,jowar
6.6,0.266,jowar
6.5,0.251,jowar
6.1,0.397,jowar
6.3,0.283,jowar
6.8,0.33,jowar
7,0.81,jowar
6.2,0.21,jowar
6.3,0.469,jowar
6.9,0.648,jowar
6.8,0.266,jowar
6.3,0.255,jowar
7,0.397,jowar
6.9,0.283,jowar
7,0.52,jowar
6.6,0.82,jowar
6.1,0.21,jowar
6.7,0.469,jowar
6.8,0.649,jowar
7,0.261,jowar
6.1,0.251,jowar
6.9,0.397,jowar
7,0.283,jowar
6.9,0.33,jowar
7,0.82,jowar
6.4,0.212,jowar
6.1,0.469,jowar
6.4,0.649,jowar
6.1,0.266,jowar
6.9,0.251,jowar
6.3,0.397,jowar
6.6,0.283,jowar
6.8,0.33,jowar
6.4,0.82,jowar
6.7,0.212,jowar
6.6,0.469,jowar
6.9,0.649,jowar
6.6,0.266,jowar
6.4,0.251,jowar
6.5,0.397,jowar
6.9,0.283,jowar
6.7,0.33,jowar
6.9,0.82,jowar
6.1,0.212,jowar
6.5,0.469,jowar
6.1,0.649,jowar
6.7,0.266,jowar
6.3,0.251,jowar
6.6,0.397,jowar
6.6,0.283,jowar
6.4,0.33,jowar
6.2,0.82,jowar
6.1,0.212,jowar
6.6,0.469,jowar
6.6,0.649,jowar
6.2,0.266,jowar
6.5,0.251,jowar
6.7,0.397,jowar
6.1,0.283,jowar
6.7,0.33,jowar
6.6,0.82,jowar
6.8,0.212,jowar
6.2,0.469,jowar
6.7,0.649,jowar
6.3,0.266,jowar
6.4,0.251,jowar
6.4,0.397,jowar
6.8,0.283,jowar
6.1,0.33,jowar
6.5,0.82,jowar
6.4,0.212,jowar
6.4,0.469,jowar
6.6,0.649,jowar
6.5,0.266,jowar
6.6,0.251,jowar
6.8,0.397,jowar
6.4,0.283,jowar
6.2,0.33,jowar
7,0.82,jowar
6.3,0.212,jowar
7,0.469,jowar
6.2,0.649,jowar
6,0.266,jowar
6,0.251,jowar
6.2,0.397,jowar
6.5,0.283,jowar
6.5,0.21,jowar
6.5,0.7,jowar
7,0.82,jowar
8.54,0.4,maize
8.63,0.281,maize
6.931756558,0.4,maize
6.657964753,0.281,maize
6.596060648,0.329,maize
5.970458434,0.27,maize
6.158830619,0.28,maize
6.047906679,0.28,maize
5.913664501,0.29,maize
5.855442401,0.28,maize
5.750254943,0.28,maize
5.852607099,0.27,maize
6.472523287,0.27,maize
6.967057762,0.28,maize
6.082973754,0.29,maize
5.919045532,0.007,maize
6.204747653,0.25,maize
6.600827017,0.26,maize
6.021902237,0.28,maize
6.033550195,0.27,maize
6.28886807,0.28,maize
6.550563823,0.28,maize
5.573286437,0.29,maize
6.829199275,0.28,maize
5.716222912,0.28,maize
5.54990242,0.27,maize
6.586244581,0.27,maize
5.893093135,0.28,maize
5.918263801,0.29,maize
5.588650585,0.007,maize
6.576418207,0.25,maize
6.178056304,0.26,maize
6.641906353,0.28,maize
6.489040367,0.27,maize
5.680361038,0.28,maize
6.625404348,0.28,maize
6.524478032,0.29,maize
5.696205468,0.28,maize
6.803931519,0.28,maize
6.252797548,0.27,maize
6.092725883,0.27,maize
6.234330356,0.28,maize
5.722579819,0.29,maize
6.430616465,0.007,maize
5.983952675,0.25,maize
6.80163854,0.26,maize
6.499936446,0.28,maize
6.265564338,0.27,maize
6.727303282,0.28,maize
6.325235159,0.28,maize
6.807487794,0.29,maize
6.671085817,0.28,maize
6.648725327,0.28,maize
6.439071996,0.27,maize
6.474476516,0.27,maize
5.871647806,0.28,maize
5.730617109,0.29,maize
5.850439831,0.007,maize
5.791649933,0.25,maize
6.740000688,0.26,maize
6.272417541,0.28,maize
5.715208817,0.27,maize
5.773454729,0.28,maize
5.584171461,0.28,maize
5.787268394,0.29,maize
5.77597783,0.28,maize
6.864793607,0.28,maize
6.192360003,0.27,maize
6.636803223,0.27,maize
5.826426917,0.28,maize
6.960358276,0.29,maize
6.11275104,0.007,maize
6.708446922,0.25,maize
5.561510732,0.26,maize
5.873242491,0.28,maize
6.995843776,0.27,maize
5.714799723,0.28,maize
6.78073637,0.28,maize
5.513697923,0.29,maize
5.798423908,0.28,maize
6.352471866,0.28,maize
6.822586546,0.27,maize
6.655426355,0.27,maize
6.121294041,0.28,maize
5.790770203,0.29,maize
6.47444292,0.007,maize
6.455116637,0.25,maize
6.606984086,0.26,maize
6.330554389,0.28,maize
6.528631266,0.27,maize
5.721667141,0.28,maize
6.644205485,0.28,maize
6.376651091,0.29,maize
6.247040422,0.28,maize
6.656730008,0.28,maize
6.2048017,0.27,maize
6.158860284,0.27,maize
6.385684214,0.28,maize
6.417820493,0.29,maize
6.381201909,0.007,maize
6.877869005,0.25,maize
8.63,0.74,onion
7.28,0.74,onion
7.78,0.62,onion
9.07,0.791,onion
8.5,0.486,onion
8.78,0.374,onion
8.32,0.996,onion
8.44,0.84,onion
8.86,0.303,onion
9.46,0.689,onion
8.69,0.844,onion
6.7,0.2,onion
6.9,0.3,onion
7,0.5,onion
7.2,0.6,onion
7.3,0.7,onion
7.4,0.8,onion
7.1,0.6,onion
6.4,0.5,onion
7.8,0.4,onion
7,0.1,onion
6.6,0.62,onion
8,0.449,onion
6.1,0.54,onion
6.5,0.62,onion
6.7,0.791,onion
6.6,0.486,onion
6.2,0.374,onion
7.1,0.996,onion
6.5,0.84,onion
6.7,0.303,onion
7,0.689,onion
6.2,0.844,onion
6.7,0.2,onion
5.922935513,0.12,pomegranate
5.937649578,0.37,pomegranate
6.804781106,0.14,pomegranate
6.424670614,0.42,pomegranate
6.738016221,0.14,pomegranate
6.497366677,0.38,pomegranate
6.327673765,0.14,pomegranate
6.36137446,0.16,pomegranate
6.923509371,0.34,pomegranate
6.630646083,0.17,pomegranate
5.832525853,0.41,pomegranate
6.738993954,0.18,pomegranate
5.782435567,0.45,pomegranate
6.537042717,0.15,pomegranate
6.145104401,0.49,pomegranate
6.890784045,0.49,pomegranate
7.175344328,0.3,pomegranate
5.938528744,0.58,pomegranate
5.709380472,0.43,pomegranate
6.184400085,0.42,pomegranate
6.553509673,0.14,pomegranate
5.885638185,0.38,pomegranate
6.143874691,0.14,pomegranate
6.101198974,0.16,pomegranate
6.594037135,0.34,pomegranate
6.859840821,0.17,pomegranate
6.56893406,0.41,pomegranate
6.769855664,0.18,pomegranate
7.130837931,0.45,pomegranate
5.740338002,0.15,pomegranate
5.843005428,0.49,pomegranate
6.648687274,0.49,pomegranate
6.902751061,0.3,pomegranate
6.608023872,0.58,pomegranate
6.828522375,0.43,pomegranate
6.910374919,0.42,pomegranate
6.306605528,0.14,pomegranate
7.009180374,0.38,pomegranate
6.297907579,0.14,pomegranate
6.728599215,0.16,pomegranate
6.965156738,0.34,pomegranate
5.578095745,0.17,pomegranate
7.199504273,0.41,pomegranate
5.841367187,0.18,pomegranate
6.710143266,0.45,pomegranate
5.972714857,0.15,pomegranate
5.561851831,0.49,pomegranate
6.107054808,0.49,pomegranate
6.988035315,0.3,pomegranate
7.13147457,0.58,pomegranate
7.086947687,0.43,pomegranate
6.749260456,0.42,pomegranate
7.16300467,0.14,pomegranate
7.013481515,0.38,pomegranate
5.648243649,0.14,pomegranate
6.610251186,0.16,pomegranate
7.054313823,0.34,pomegranate
6.026999326,0.17,pomegranate
5.779427402,0.41,pomegranate
6.535244251,0.18,pomegranate
5.684995235,0.45,pomegranate
6.12476108,0.15,pomegranate
6.999014379,0.49,pomegranate
6.277148771,0.49,pomegranate
6.322396027,0.3,pomegranate
5.956401828,0.58,pomegranate
6.591302797,0.43,pomegranate
7.104094929,0.42,pomegranate
6.407872061,0.14,pomegranate
6.658402594,0.38,pomegranate
6.276038961,0.14,pomegranate
6.825256236,0.16,pomegranate
6.368560522,0.34,pomegranate
7.005410734,0.17,pomegranate
6.897368477,0.41,pomegranate
6.152906502,0.18,pomegranate
5.744361602,0.45,pomegranate
7.051654924,0.15,pomegranate
6.034612928,0.49,pomegranate
6.924490731,0.49,pomegranate
6.887005997,0.3,pomegranate
6.8444019,0.58,pomegranate
5.786058032,0.43,pomegranate
5.627186257,0.42,pomegranate
5.700088663,0.14,pomegranate
5.567805185,0.38,pomegranate
6.077886012,0.14,pomegranate
6.397995609,0.16,pomegranate
5.767372539,0.34,pomegranate
7.079973241,0.17,pomegranate
5.893332378,0.41,pomegranate
7.058222596,0.18,pomegranate
5.78270695,0.45,pomegranate
6.269663963,0.15,pomegranate
5.892913826,0.49,pomegranate
7.116538883,0.49,pomegranate
6.430163481,0.3,pomegranate
7.159520979,0.58,pomegranate
6.431265737,0.43,pomegranate
6.082571701,0.44,pomegranate
8.13,0.23,potato
5.6,0.21,potato
8,0.22,potato
7.5,0.2,potato
7.75,0.22,potato
8.81,0.22,potato
5.7,0.21,potato
6.1,0.23,potato
6.32,0.23,potato
5.7,0.21,potato
5.9,0.21,potato
5.9,0.25,potato
8.14,0.21,potato
8.11,0.23,potato
5.96,0.23,potato
6.12,0.21,potato
7.1,0.25,potato
7.2,0.22,potato
7.5,0.21,potato
6.23,0.23,potato
8.1,0.23,potato
598,0.21,potato
5.9,0.25,potato
8.1,0.22,potato
8.13,0.23,potato
5.6,0.21,potato
8,0.22,potato
7.5,0.2,potato
7.75,0.22,potato
8.81,0.22,potato
5.7,0.21,potato
6.1,0.23,potato
6.32,0.23,potato
5.7,0.21,potato
5.9,0.21,potato
5.9,0.25,potato
8.14,0.21,potato
8.11,0.23,potato
5.96,0.23,potato
6.12,0.21,potato
7.1,0.25,potato
7.2,0.22,potato
7.5,0.21,potato
6.23,0.23,potato
8.1,0.23,potato
598,0.21,potato
5.9,0.25,potato
8.1,0.22,potato
8.13,0.23,potato
5.6,0.21,potato
8,0.22,potato
7.5,0.2,potato
7.75,0.22,potato
8.81,0.22,potato
5.7,0.21,potato
6.1,0.23,potato
6.32,0.23,potato
5.7,0.21,potato
5.9,0.21,potato
5.9,0.25,potato
8.14,0.21,potato
8.11,0.23,potato
5.96,0.23,potato
6.12,0.21,potato
7.1,0.25,potato
7.2,0.22,potato
7.5,0.21,potato
6.23,0.23,potato
8.1,0.23,potato
598,0.21,potato
5.9,0.25,potato
8.1,0.22,potato
8.13,0.23,potato
5.6,0.21,potato
8,0.22,potato
7.5,0.2,potato
7.75,0.22,potato
8.81,0.22,potato
5.7,0.21,potato
6.1,0.23,potato
6.32,0.23,potato
5.7,0.21,potato
5.9,0.21,potato
5.9,0.25,potato
8.14,0.21,potato
8.11,0.23,potato
5.96,0.23,potato
6.12,0.21,potato
7.1,0.25,potato
7.2,0.22,potato
7.5,0.21,potato
6.23,0.23,potato
8.1,0.23,potato
598,0.21,potato
5.9,0.25,potato
8.1,0.22,potato
7.1,0.25,potato
7.2,0.22,potato
7.5,0.21,potato
6.23,0.23,potato
7.5,0.21,potato
8.59,0.84,soybean
8.31,0.99,soybean
8.4,0.667,soybean
8.1,0.6,soybean
7.28,0.64,soybean
8.1,0.6,soybean
7.57,0.64,soybean
8.1,0.61,soybean
8.1,0.6,soybean
8.1,0.6,soybean
7.27,0.65,soybean
8.34,0.72,soybean
6.9,0.84,soybean
7,0.99,soybean
6.4,0.667,soybean
6.5,0.6,soybean
6.2,0.64,soybean
6.3,0.6,soybean
6.8,0.64,soybean
6.9,0.61,soybean
6.3,0.6,soybean
6.8,0.6,soybean
6.3,0.65,soybean
6.4,0.72,soybean
6.3,0.84,soybean
7,0.99,soybean
6.2,0.667,soybean
6.3,0.6,soybean
6.8,0.64,soybean
6.9,0.6,soybean
6.5,0.64,soybean
6.9,0.61,soybean
6.2,0.6,soybean
6.9,0.6,soybean
6.9,0.65,soybean
6.1,0.72,soybean
6.3,0.84,soybean
6.2,0.99,soybean
6.2,0.667,soybean
6.4,0.6,soybean
6.8,0.64,soybean
6.1,0.6,soybean
6.7,0.64,soybean
6.5,0.61,soybean
6.9,0.6,soybean
6.4,0.6,soybean
6.8,0.65,soybean
6.9,0.72,soybean
6.2,0.84,soybean
6.3,0.99,soybean
6.9,0.667,soybean
6.4,0.6,soybean
6.7,0.64,soybean
6,0.6,soybean
6.3,0.64,soybean
6.9,0.61,soybean
6.9,0.6,soybean
6.4,0.6,soybean
6.6,0.65,soybean
6.3,0.72,soybean
6.3,0.84,soybean
6.1,0.99,soybean
6.8,0.667,soybean
6.7,0.6,soybean
6.9,0.64,soybean
6.8,0.6,soybean
6.1,0.64,soybean
6.9,0.61,soybean
6.7,0.6,soybean
6.9,0.6,soybean
6.3,0.65,soybean
6.8,0.72,soybean
6.1,0.84,soybean
6.5,0.99,soybean
6.1,0.667,soybean
6.2,0.6,soybean
6.4,0.64,soybean
6.1,0.6,soybean
6.3,0.64,soybean
6.8,0.61,soybean
6.9,0.6,soybean
6.7,0.6,soybean
6.9,0.65,soybean
6.7,0.72,soybean
6.5,0.62,soybean
5.8,0.05,sugarcane
6.5,0.93,sugarcane
7.6,0.07,sugarcane
6.3,0.94,sugarcane
5.5,0.1,sugarcane
6.8,0.25,sugarcane
6.1,0.64,sugarcane
6.3,0.08,sugarcane
6.2,0.52,sugarcane
6.7,0.64,sugarcane
6.7,0.04,sugarcane
7.2,0.88,sugarcane
7.3,1.25,sugarcane
7,0.04,sugarcane
6.9,0.9,sugarcane
7.3,0.03,sugarcane
6.8,0.64,sugarcane
7.5,1.64,sugarcane
7.7,0.07,sugarcane
6.3,0.93,sugarcane
6.8,0.05,sugarcane
6.3,0.93,sugarcane
7.6,0.07,sugarcane
5.2,0.94,sugarcane
7.2,0.1,sugarcane
6,0.25,sugarcane
7,0.64,sugarcane
7.5,0.08,sugarcane
5.4,0.52,sugarcane
7.4,0.64,sugarcane
5.7,0.04,sugarcane
7.1,0.88,sugarcane
6.7,1.25,sugarcane
7.3,0.04,sugarcane
6.6,0.9,sugarcane
5.4,0.03,sugarcane
6.4,0.64,sugarcane
7.9,1.64,sugarcane
7,0.07,sugarcane
6.7,0.93,sugarcane
5.5,0.05,sugarcane
6.3,0.93,sugarcane
6.2,0.07,sugarcane
7.4,0.94,sugarcane
5.1,0.1,sugarcane
5.5,0.25,sugarcane
6.4,0.64,sugarcane
7.4,0.08,sugarcane
5.2,0.52,sugarcane
5.8,0.64,sugarcane
6.5,0.04,sugarcane
7.6,0.88,sugarcane
5.7,1.25,sugarcane
7,0.04,sugarcane
6.7,0.9,sugarcane
7.7,0.03,sugarcane
7,0.64,sugarcane
7.4,1.64,sugarcane
7,0.07,sugarcane
7.7,0.93,sugarcane
7.9,0.05,sugarcane
5.4,0.93,sugarcane
6.2,0.07,sugarcane
5.1,0.94,sugarcane
7.1,0.1,sugarcane
6.6,0.25,sugarcane
6.3,0.64,sugarcane
5.7,0.08,sugarcane
7.4,0.52,sugarcane
7.8,0.64,sugarcane
7.6,0.04,sugarcane
7.9,0.88,sugarcane
7,1.25,sugarcane
7.7,0.04,sugarcane
6.5,0.9,sugarcane
7.3,0.03,sugarcane
6.7,0.64,sugarcane
6.1,1.64,sugarcane
6.3,0.07,sugarcane
7.4,0.93,sugarcane
6.8,0.05,sugarcane
7.3,0.93,sugarcane
5.3,0.07,sugarcane
5.3,0.94,sugarcane
6.8,0.1,sugarcane
5.5,0.25,sugarcane
6.7,0.64,sugarcane
7.2,0.08,sugarcane
5.8,0.52,sugarcane
7.2,0.64,sugarcane
5.5,0.04,sugarcane
7.5,0.88,sugarcane
5.8,1.25,sugarcane
7,0.04,sugarcane
5.8,0.9,sugarcane
7.6,0.03,sugarcane
5.6,0.64,sugarcane
5.5,1.64,sugarcane
5.2,0.07,sugarcane
7.4,0.93,sugarcane
5,0.64,sugarcane
8.61,0.995,tomato
7.9,0.48,tomato
7.81,0.35,tomato
7.83,0.4,tomato
7.36,0.64,tomato
7.87,0.6,tomato
7.91,0.6,tomato
8.4,0.2,tomato
7.8,0.5,tomato
7.8,0.3,tomato
7.64,0.6,tomato
8.2,0.73,tomato
8.21,0.6,tomato
8.23,0.56,tomato
8.23,0.56,tomato
7.34,0.54,tomato
7.87,0.6,tomato
7.95,0.6,tomato
7.8,0.7,tomato
8.2,0.6,tomato
7.8,0.7,tomato
8.2,0.64,tomato
7.83,0.52,tomato
7.93,0.5,tomato
7.95,0.56,tomato
7.91,0.6,tomato
7.93,0.6,tomato
7.34,0.54,tomato
7.16,0.65,tomato
7.41,0.64,tomato
7.24,0.48,tomato
7.54,0.9,tomato
6.8,0.3,tomato
7.2,0.6,tomato
8.26,0.3,tomato
8.12,0.2,tomato
6.9,0.62,tomato
7.1,0.8,tomato
8.3,0.2,tomato
8.26,0.3,tomato
8.43,0.3,tomato
8.6,0.4,tomato
8.28,0.2,tomato
8.56,0.2,tomato
8.35,0.3,tomato
8.25,0.2,tomato
8.42,0.2,tomato
8.6,0.2,tomato
8.32,0.3,tomato
7.9,0.2,tomato
8.43,0.3,tomato
8.02,0.5,tomato
7.3,0.41,tomato
7.1,0.62,tomato
7.3,0.51,tomato
6,0.33,wheat
6,0.82,wheat
6.4,0.212,wheat
6.1,0.469,wheat
6.7,0.649,wheat
6.6,0.266,wheat
